Film Adı,Yönetmen,IMDb Puanı,Vizyona Giriş Yılı,Film Türü,Izleyici Sayısı,Ülke,Yayınlanma Mevsimi,Yerli/Yabancı
Rocketman,Dexter Fletcher,7,2019,Biyografi,968160,İngiltere,Sonbahar,Yabancı
Good Boys,Gene Stupnitsky/Lee Eisenberg,6.8,2019,Komedi,2940306,ABD,Yaz,Yabancı
The Addams Family,Conrad Vernon/Greg Tiernan,6,2019,Animasyon,3644905,ABD,Sonbahar,Yabancı
Hustlers,Lorene Scafaria,6.5,2019,Dram,1060643,ABD,Yaz,Yabancı
Maleficent: Mistress of Evil,Joachim Rønning,6,2019,Fantastik,3139205,ABD,Sonbahar,Yabancı
Dumbo,Tim Burton,6,2019,Animasyon,1217307,ABD,Kış,Yabancı
The Curse of La Llorona,Michael Chaves,5.3,2019,Korku,2634731,ABD,İlkbahar,Yabancı
Glass,M. Night Shyamalan,6.2,2019,Korku,2110468,ABD,Kış,Yabancı
Godzilla: King of the Monsters,Michael Dougherty,5.3,2019,Aksiyon,2910538,ABD,İlkbahar,Yabancı
The Upside,Neil Burger,6,2019,Dram,1982517,ABD,Kış,Yabancı
John Wick: Chapter 3 - Parabellum,Chad Stahelski,6.5,2019,Aksiyon,951087,ABD,İlkbahar,Yabancı
The Secret Life of Pets 2,Chris Renaud,6,2019,Animasyon,889250,ABD,İlkbahar,Yabancı
Fast & Furious Presents: Hobbs & Shaw,David Leitch,6.5,2019,Aksiyon,936935,ABD,Yaz,Yabancı
Extraction,Sam Hargrave,6.5,2020,Aksiyon,200798,ABD,İlkbahar,Yabancı
The Gentlemen,Guy Ritchie,6.8,2020,Dram,190435,İngiltere,Kış,Yabancı
The Hunt,Craig Zobel,6.4,2020,Korku,95674,ABD,İlkbahar,Yabancı
Bill & Ted Face the Music,Dean Parisot,6.1,2020,Komedi,86342,ABD,Yaz,Yabancı
Greenland,Ric Roman Waugh,6.3,2020,Dram,74291,ABD,Yaz,Yabancı
Palm Springs,Max Barbakow,7.4,2020,Komedi,68915,ABD,Yaz,Yabancı
The King of Staten Island,Judd Apatow,6.8,2020,Komedi,56012,ABD,Yaz,Yabancı
Emma.,Autumn de Wilde,6.7,2020,Komedi,49264,ABD,Kış,Yabancı
The Personal History of David Copperfield,Armando Iannucci,6.4,2020,Dram,43453,İngiltere,Kış,Yabancı
The Assistant,Kitty Green,6.3,2020,Dram,42137,ABD,Kış,Yabancı
